Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Brahim Foden,CAM,Barcelona,Uruguay,La Liga,Half Winger
2,Cole Diaz,CAM,Lazio,South Korea,Serie A,Shadow Striker
3,Arda Nkunku,CAM,Manchester United,Netherlands,Premier League,Half Winger
4,Christopher Musiala,CAM,AC Milan,Netherlands,Serie A,Classic 10
5,Florian Odegaard,CAM,Athletic Club,Uruguay,La Liga,Half Winger
6,Mason Olmo,CAM,Chelsea,France,Premier League,Shadow Striker
7,Dani Eze,CAM,Lyon,Turkey,Ligue 1,Classic 10
8,Cole Simons,CAM,RB Leipzig,Turkey,Bundesliga,Playmaker
9,Arda Nkunku,CAM,Real Betis,Japan,La Liga,Half Winger
10,Morgan Odegaard,CAM,Bayern Munich,France,Bundesliga,Half Winger
11,Lee Maddison,CAM,Dortmund,Argentina,Bundesliga,Shadow Striker
12,Arda Maddison,CAM,Arsenal,South Korea,Premier League,Half Winger
13,Martin Dybala,CAM,Manchester City,South Korea,Premier League,Half Winger
14,Eberechi Odegaard,CAM,Stuttgart,France,Bundesliga,Shadow Striker
15,Xavi Foden,CAM,Napoli,Brazil,Serie A,Playmaker
16,Eberechi Guler,CAM,RB Leipzig,South Korea,Bundesliga,Half Winger
17,Florian Kubo,CAM,Bayern Munich,Morocco,Bundesliga,Playmaker
18,Paulo Szoboszlai,CAM,Napoli,Norway,Serie A,Half Winger
19,Bruno Musiala,CAM,Dortmund,Portugal,Bundesliga,Classic 10
20,Arda Wirtz,CAM,Stuttgart,Morocco,Bundesliga,Playmaker
21,Eberechi Palmer,CAM,Brighton,South Korea,Premier League,Shadow Striker
22,Morgan Palmer,CAM,Inter Milan,Portugal,Serie A,Playmaker
23,Cole Foden,CAM,Inter Milan,Netherlands,Serie A,Half Winger
24,Takefusa Gibbs-White,CAM,AS Roma,Norway,Serie A,Classic 10
25,Martin Gibbs-White,CAM,Chelsea,England,Premier League,Half Winger
26,Cole Szoboszlai,CAM,Monaco,South Korea,Ligue 1,Playmaker
27,Christopher Foden,CAM,Arsenal,Uruguay,Premier League,Half Winger
28,Dani Guler,CAM,Lyon,Spain,Ligue 1,Classic 10
29,Eberechi Nkunku,CAM,Bologna,France,Serie A,Shadow Striker
30,Brahim Palmer,CAM,Tottenham,Uruguay,Premier League,Half Winger
31,Lee Simons,CAM,Lille,Colombia,Ligue 1,Half Winger
32,James Odegaard,CAM,Chelsea,Netherlands,Premier League,Playmaker
33,Phil Maddison,CAM,RB Leipzig,South Korea,Bundesliga,Half Winger
34,Dani Dybala,CAM,Athletic Club,England,La Liga,Classic 10
35,Dominik Gibbs-White,CAM,Napoli,South Korea,Serie A,Playmaker
36,Bruno Musiala,CAM,PSG,Netherlands,Ligue 1,Shadow Striker
37,Takefusa Olmo,CAM,Tottenham,South Korea,Premier League,Half Winger
38,Arda Gibbs-White,CAM,Brest,France,Ligue 1,Playmaker
39,Arda Fernandes,CAM,Atletico Madrid,Uruguay,La Liga,Classic 10
40,Morgan Eze,CAM,Real Betis,Portugal,La Liga,Playmaker
41,Bruno Olmo,CAM,Bologna,Germany,Serie A,Half Winger
42,Xavi Musiala,CAM,AC Milan,Spain,Serie A,Half Winger
43,Julian Gibbs-White,CAM,Frankfurt,Norway,Bundesliga,Shadow Striker
44,Dominik Fernandes,CAM,Brighton,Netherlands,Premier League,Playmaker
45,Dani Simons,CAM,Brighton,Morocco,Premier League,Playmaker
46,Xavi Kubo,CAM,Monaco,Norway,Ligue 1,Shadow Striker
47,Martin Wirtz,CAM,Monaco,Colombia,Ligue 1,Classic 10
48,Florian Mount,CAM,Bologna,Norway,Serie A,Half Winger
49,Arda Szoboszlai,CAM,Napoli,England,Serie A,Shadow Striker
50,Phil Kang-in,CAM,Lazio,Germany,Serie A,Half Winger
51,Xavi Dybala,CAM,AC Milan,Japan,Serie A,Classic 10
52,Arda Foden,CAM,Bayer Leverkusen,Germany,Bundesliga,Playmaker
53,Bruno Eze,CAM,Nice,England,Ligue 1,Half Winger
54,Arda Diaz,CAM,Newcastle,England,Premier League,Classic 10
55,Cole Kubo,CAM,Arsenal,France,Premier League,Half Winger
56,Julian Mount,CAM,Real Madrid,France,La Liga,Half Winger
57,Dominik Guler,CAM,Real Betis,Portugal,La Liga,Shadow Striker
58,Dominik Palmer,CAM,Nice,Argentina,Ligue 1,Half Winger
59,James Kubo,CAM,Monaco,Spain,Ligue 1,Shadow Striker
60,Dominik Maddison,CAM,Real Betis,Turkey,La Liga,Playmaker
61,Lee Wirtz,CAM,Aston Villa,Portugal,Premier League,Playmaker
62,Morgan Odegaard,CAM,Chelsea,France,Premier League,Shadow Striker
63,Bruno Diaz,CAM,Juventus,Germany,Serie A,Classic 10
64,Cole Foden,CAM,Lyon,South Korea,Ligue 1,Playmaker
65,Takefusa Fernandes,CAM,Lazio,Morocco,Serie A,Half Winger
66,Florian Nkunku,CAM,Manchester City,Germany,Premier League,Shadow Striker
67,Lee Kubo,CAM,Real Madrid,Morocco,La Liga,Playmaker
68,Dani Kang-in,CAM,Bayer Leverkusen,Uruguay,Bundesliga,Classic 10
69,Dani Guler,CAM,Marseille,France,Ligue 1,Half Winger
70,Morgan Wirtz,CAM,Manchester City,France,Premier League,Classic 10
71,Bruno Olmo,CAM,Real Sociedad,Germany,La Liga,Half Winger
72,Dani Kang-in,CAM,PSG,France,Ligue 1,Half Winger
73,Morgan Eze,CAM,Stuttgart,Germany,Bundesliga,Classic 10
74,Arda Eze,CAM,Manchester City,England,Premier League,Shadow Striker
75,Paulo Alvarez,CAM,Atletico Madrid,South Korea,La Liga,Playmaker
76,Takefusa Foden,CAM,Lazio,Norway,Serie A,Classic 10
77,Lee Musiala,CAM,Atalanta,Japan,Serie A,Playmaker
78,Lee Foden,CAM,Stuttgart,Turkey,Bundesliga,Shadow Striker
79,Arda Simons,CAM,Monaco,Colombia,Ligue 1,Playmaker
80,Morgan Palmer,CAM,Bayern Munich,Portugal,Bundesliga,Shadow Striker
81,Phil Olmo,CAM,Dortmund,Colombia,Bundesliga,Classic 10
82,Eberechi Musiala,CAM,Frankfurt,Portugal,Bundesliga,Half Winger
83,Arda Gibbs-White,CAM,Real Betis,Argentina,La Liga,Shadow Striker
84,Takefusa Eze,CAM,Napoli,France,Serie A,Classic 10
85,Dominik Guler,CAM,West Ham,Japan,Premier League,Shadow Striker
86,Dominik Musiala,CAM,Chelsea,Portugal,Premier League,Classic 10
87,Martin Olmo,CAM,West Ham,South Korea,Premier League,Half Winger
88,Arda Nkunku,CAM,Liverpool,Argentina,Premier League,Shadow Striker
89,Martin Eze,CAM,Barcelona,Colombia,La Liga,Shadow Striker
90,Paulo Szoboszlai,CAM,Real Madrid,Argentina,La Liga,Shadow Striker
91,Martin Diaz,CAM,Brighton,Portugal,Premier League,Playmaker
92,Xavi Kubo,CAM,Bayer Leverkusen,Netherlands,Bundesliga,Half Winger
93,Xavi Mount,CAM,Athletic Club,Norway,La Liga,Shadow Striker
94,Cole Diaz,CAM,Arsenal,Germany,Premier League,Half Winger
95,Takefusa Foden,CAM,RB Leipzig,Portugal,Bundesliga,Playmaker
96,Mason Diaz,CAM,Girona,Portugal,La Liga,Playmaker
97,James Foden,CAM,Bayern Munich,Colombia,Bundesliga,Classic 10
98,Phil Alvarez,CAM,Monaco,Colombia,Ligue 1,Playmaker
99,Mason Dybala,CAM,Liverpool,France,Premier League,Half Winger
100,Eberechi Nkunku,CAM,PSG,Brazil,Ligue 1,Classic 10
101,Takefusa Maddison,CAM,Newcastle,Uruguay,Premier League,Playmaker
102,James Dybala,CAM,Arsenal,Netherlands,Premier League,Shadow Striker
103,Morgan Gibbs-White,CAM,Barcelona,Spain,La Liga,Playmaker
104,Cole Kang-in,CAM,Real Sociedad,England,La Liga,Shadow Striker
105,Eberechi Musiala,CAM,Brest,Netherlands,Ligue 1,Classic 10
106,Mason Odegaard,CAM,Arsenal,Spain,Premier League,Classic 10
107,Christopher Mount,CAM,RB Leipzig,Morocco,Bundesliga,Playmaker
108,Julian Musiala,CAM,Liverpool,Spain,Premier League,Playmaker
109,Phil Eze,CAM,Dortmund,South Korea,Bundesliga,Half Winger
110,Cole Eze,CAM,Atletico Madrid,Netherlands,La Liga,Shadow Striker
111,Florian Musiala,CAM,Napoli,Netherlands,Serie A,Classic 10
112,Florian Musiala,CAM,Bayer Leverkusen,Portugal,Bundesliga,Playmaker
113,Florian Wirtz,CAM,Frankfurt,Spain,Bundesliga,Classic 10
114,James Dybala,CAM,Lyon,Germany,Ligue 1,Half Winger
115,Morgan Diaz,CAM,Real Sociedad,Uruguay,La Liga,Half Winger
116,Mason Szoboszlai,CAM,Girona,Netherlands,La Liga,Shadow Striker
117,Florian Eze,CAM,Stuttgart,Turkey,Bundesliga,Classic 10
118,Paulo Eze,CAM,Frankfurt,Colombia,Bundesliga,Playmaker
119,Cole Palmer,CAM,Bayern Munich,Japan,Bundesliga,Classic 10
120,Cole Gibbs-White,CAM,AC Milan,Portugal,Serie A,Shadow Striker
121,Takefusa Guler,CAM,PSG,Uruguay,Ligue 1,Playmaker
122,Bruno Alvarez,CAM,Stuttgart,Colombia,Bundesliga,Shadow Striker
123,Dominik Wirtz,CAM,Bayer Leverkusen,Netherlands,Bundesliga,Playmaker
124,Martin Fernandes,CAM,Arsenal,South Korea,Premier League,Half Winger
125,Dani Wirtz,CAM,Real Madrid,Norway,La Liga,Half Winger
126,Martin Szoboszlai,CAM,Bologna,France,Serie A,Shadow Striker
127,Xavi Musiala,CAM,Bayern Munich,France,Bundesliga,Classic 10
128,Brahim Fernandes,CAM,Manchester City,France,Premier League,Playmaker
129,Phil Maddison,CAM,Lyon,Morocco,Ligue 1,Classic 10
130,Brahim Alvarez,CAM,Monaco,Argentina,Ligue 1,Playmaker
131,Jamal Maddison,CAM,RB Leipzig,Portugal,Bundesliga,Classic 10
132,Phil Palmer,CAM,RB Leipzig,Colombia,Bundesliga,Classic 10
133,Florian Foden,CAM,Atletico Madrid,Morocco,La Liga,Shadow Striker
134,Mason Mount,CAM,Bayern Munich,England,Bundesliga,Playmaker
135,Dani Guler,CAM,Newcastle,Uruguay,Premier League,Classic 10
136,James Musiala,CAM,Real Sociedad,South Korea,La Liga,Classic 10
137,Dominik Kang-in,CAM,Chelsea,Spain,Premier League,Classic 10
138,Arda Musiala,CAM,AC Milan,Germany,Serie A,Half Winger
139,Eberechi Musiala,CAM,Nice,Argentina,Ligue 1,Half Winger
140,Christopher Odegaard,CAM,Juventus,Colombia,Serie A,Classic 10
141,Dani Simons,CAM,PSG,South Korea,Ligue 1,Shadow Striker
142,Dani Nkunku,CAM,Girona,Uruguay,La Liga,Half Winger
143,Morgan Alvarez,CAM,AC Milan,Netherlands,Serie A,Half Winger
144,Paulo Musiala,CAM,Monaco,Brazil,Ligue 1,Classic 10
145,Paulo Kubo,CAM,RB Leipzig,Portugal,Bundesliga,Shadow Striker
146,Morgan Nkunku,CAM,Atalanta,Morocco,Serie A,Playmaker
147,Arda Eze,CAM,Athletic Club,Japan,La Liga,Shadow Striker
