Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Marquinhos Silva,CB,Barcelona,France,La Liga,Ball Playing Defender
2,Bremer Bremer,CB,Chelsea,South Korea,Premier League,Ball Playing Defender
3,Matthijs Silva,CB,AC Milan,England,Serie A,Ball Playing Defender
4,Pau Araujo,CB,Marseille,Brazil,Ligue 1,Stopper
5,Ronald Romero,CB,Aston Villa,France,Premier League,Stopper
6,Ronald Upamecano,CB,Chelsea,Germany,Premier League,Stopper
7,Dayot Van Dijk,CB,Bayer Leverkusen,Uruguay,Bundesliga,Ball Playing Defender
8,Ruben Rudiger,CB,Bologna,Netherlands,Serie A,Ball Playing Defender
9,Pau Militao,CB,Juventus,France,Serie A,Ball Playing Defender
10,William Torres,CB,Real Madrid,Italy,La Liga,Ball Playing Defender
11,William Rudiger,CB,PSG,France,Ligue 1,Stopper
12,Sven Araujo,CB,Bayer Leverkusen,Senegal,Bundesliga,Ball Playing Defender
13,Kim Silva,CB,Stuttgart,Germany,Bundesliga,Stopper
14,Bremer Upamecano,CB,Nice,Croatia,Ligue 1,Stopper
15,Marquinhos Martinez,CB,Bayer Leverkusen,Switzerland,Bundesliga,Stopper
16,Milan Martinez,CB,Brest,Argentina,Ligue 1,Stopper
17,Jules Kounde,CB,Frankfurt,Senegal,Bundesliga,Ball Playing Defender
18,William Magalhaes,CB,Barcelona,Senegal,La Liga,Ball Playing Defender
19,William Araujo,CB,Nice,Brazil,Ligue 1,Stopper
20,William Magalhaes,CB,Atalanta,Portugal,Serie A,Ball Playing Defender
21,Sven Akanji,CB,Lyon,Netherlands,Ligue 1,Ball Playing Defender
22,Lisandro Dias,CB,RB Leipzig,Netherlands,Bundesliga,Ball Playing Defender
23,Eder Magalhaes,CB,AC Milan,Belgium,Serie A,Ball Playing Defender
24,Virgil Bastoni,CB,Real Betis,Germany,La Liga,Ball Playing Defender
25,Sven Magalhaes,CB,Napoli,Uruguay,Serie A,Stopper
26,Bremer Van Dijk,CB,Real Sociedad,Brazil,La Liga,Stopper
27,Sven Konate,CB,Real Madrid,Germany,La Liga,Ball Playing Defender
28,Sergio Rudiger,CB,Marseille,Switzerland,Ligue 1,Stopper
29,Pau Skriniar,CB,Brighton,Uruguay,Premier League,Stopper
30,Lisandro Militao,CB,Girona,Brazil,La Liga,Ball Playing Defender
31,Virgil Militao,CB,Juventus,Netherlands,Serie A,Ball Playing Defender
32,Ruben Silva,CB,Frankfurt,Spain,Bundesliga,Stopper
33,Manuel Botman,CB,Manchester United,Senegal,Premier League,Stopper
34,Sven Min-jae,CB,Bayern Munich,Spain,Bundesliga,Stopper
35,Mats Romero,CB,Chelsea,Germany,Premier League,Stopper
36,Kim Romero,CB,Bayern Munich,Brazil,Bundesliga,Ball Playing Defender
37,Antonio Torres,CB,RB Leipzig,France,Bundesliga,Stopper
38,Manuel Martinez,CB,Tottenham,Senegal,Premier League,Ball Playing Defender
39,Pau De Ligt,CB,Stuttgart,Argentina,Bundesliga,Ball Playing Defender
40,Sergio Konate,CB,Newcastle,Croatia,Premier League,Stopper
41,Kim Ramos,CB,Real Betis,Uruguay,La Liga,Stopper
42,Dayot Araujo,CB,Real Madrid,Uruguay,La Liga,Stopper
43,Alessandro Araujo,CB,Bayern Munich,Uruguay,Bundesliga,Stopper
44,Lisandro Magalhaes,CB,Chelsea,Belgium,Premier League,Stopper
45,Milan Upamecano,CB,RB Leipzig,France,Bundesliga,Ball Playing Defender
46,Virgil Skriniar,CB,Atalanta,Argentina,Serie A,Stopper
47,Josko Torres,CB,Liverpool,France,Premier League,Stopper
48,Kim Van Dijk,CB,Valencia,Belgium,La Liga,Stopper
49,Gabriel Magalhaes,CB,Manchester City,Argentina,Premier League,Ball Playing Defender
50,Milan Torres,CB,Stuttgart,South Korea,Bundesliga,Stopper
51,Matthijs Romero,CB,Manchester United,Spain,Premier League,Ball Playing Defender
52,Josko Araujo,CB,Bayer Leverkusen,Netherlands,Bundesliga,Stopper
53,Matthijs Hummels,CB,Lazio,Croatia,Serie A,Stopper
54,Ibrahima Hummels,CB,Brest,Senegal,Ligue 1,Ball Playing Defender
55,Antonio Min-jae,CB,Barcelona,Argentina,La Liga,Stopper
56,Sven Militao,CB,Lazio,England,Serie A,Ball Playing Defender
57,Virgil Konate,CB,Manchester City,Netherlands,Premier League,Stopper
58,Gabriel Martinez,CB,Manchester City,Uruguay,Premier League,Stopper
59,Ronald Gvardiol,CB,Stuttgart,South Korea,Bundesliga,Ball Playing Defender
60,Ronald Upamecano,CB,Bologna,Senegal,Serie A,Ball Playing Defender
61,Harry Magalhaes,CB,Bayern Munich,Spain,Bundesliga,Stopper
62,Virgil Torres,CB,Stuttgart,Spain,Bundesliga,Stopper
63,Mats Romero,CB,Atalanta,Senegal,Serie A,Stopper
64,Antonio Araujo,CB,Atletico Madrid,Croatia,La Liga,Stopper
65,Kim Torres,CB,Real Madrid,Switzerland,La Liga,Stopper
66,Josko Maguire,CB,Marseille,Portugal,Ligue 1,Ball Playing Defender
67,Harry Gvardiol,CB,Juventus,Germany,Serie A,Ball Playing Defender
68,Eder Rudiger,CB,Valencia,Brazil,La Liga,Ball Playing Defender
69,Manuel Hummels,CB,Atalanta,Italy,Serie A,Ball Playing Defender
70,Cristian Botman,CB,Frankfurt,Germany,Bundesliga,Ball Playing Defender
71,Kim Bremer,CB,Dortmund,Switzerland,Bundesliga,Ball Playing Defender
72,Josko Dias,CB,Real Betis,France,La Liga,Ball Playing Defender
73,Lisandro Bastoni,CB,Dortmund,Netherlands,Bundesliga,Ball Playing Defender
74,Sergio Hummels,CB,Liverpool,Spain,Premier League,Ball Playing Defender
75,Matthijs Botman,CB,Manchester United,Brazil,Premier League,Stopper
76,Harry Van Dijk,CB,Frankfurt,Italy,Bundesliga,Stopper
77,Josko Magalhaes,CB,Bologna,Argentina,Serie A,Stopper
78,Sergio Skriniar,CB,Lyon,Spain,Ligue 1,Ball Playing Defender
79,Manuel Kounde,CB,Bayern Munich,Italy,Bundesliga,Ball Playing Defender
80,Virgil Silva,CB,Dortmund,Belgium,Bundesliga,Ball Playing Defender
81,Matthijs Kounde,CB,Chelsea,France,Premier League,Ball Playing Defender
82,Ibrahima Konate,CB,Brest,Croatia,Ligue 1,Stopper
83,Ibrahima Maguire,CB,Brest,Uruguay,Ligue 1,Stopper
84,Mats Kounde,CB,Monaco,England,Ligue 1,Ball Playing Defender
85,Kim Ramos,CB,Liverpool,Belgium,Premier League,Stopper
86,Gabriel Araujo,CB,Nice,France,Ligue 1,Stopper
87,Sven Van Dijk,CB,Marseille,Portugal,Ligue 1,Ball Playing Defender
88,Milan Araujo,CB,Lyon,Switzerland,Ligue 1,Ball Playing Defender
89,Ronald Saliba,CB,Lille,Switzerland,Ligue 1,Stopper
90,Cristian Maguire,CB,Newcastle,Argentina,Premier League,Ball Playing Defender
91,Ronald Akanji,CB,Manchester City,Brazil,Premier League,Ball Playing Defender
92,Sven Ramos,CB,Atalanta,Uruguay,Serie A,Stopper
93,Eder Dias,CB,Arsenal,Spain,Premier League,Stopper
94,Marquinhos Militao,CB,Liverpool,Spain,Premier League,Stopper
95,Matthijs Akanji,CB,Napoli,Uruguay,Serie A,Ball Playing Defender
96,Ibrahima Upamecano,CB,Liverpool,Senegal,Premier League,Ball Playing Defender
97,Sven Kounde,CB,Bayern Munich,Germany,Bundesliga,Ball Playing Defender
98,Sergio De Ligt,CB,Bayern Munich,Croatia,Bundesliga,Ball Playing Defender
