Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Joshua Caicedo,CDM,Juventus,Morocco,Serie A,Deep Lying Playmaker
2,Declan Palhinha,CDM,AC Milan,France,Serie A,Deep Lying Playmaker
3,Sofyan Palhinha,CDM,Stuttgart,Spain,Bundesliga,Centre Half
4,Denis Hojbjerg,CDM,Valencia,Germany,La Liga,Holding
5,Boubacar Lavia,CDM,Tottenham,Mexico,Premier League,Centre Half
6,Rodri Zakaria,CDM,Nice,Ghana,Ligue 1,Centre Half
7,Pierre-Emile Bissouma,CDM,Chelsea,Mali,Premier League,Centre Half
8,Denis Hojbjerg,CDM,Napoli,Mali,Serie A,Centre Half
9,Fabinho Guimaraes,CDM,Real Madrid,Germany,La Liga,Centre Half
10,Sofyan Kimmich,CDM,Real Sociedad,Mali,La Liga,Centre Half
11,Stefan Hernandez,CDM,Frankfurt,Morocco,Bundesliga,Holding
12,Manuel Guimaraes,CDM,PSG,Morocco,Ligue 1,Holding
13,Denis Onana,CDM,Real Sociedad,Morocco,La Liga,Centre Half
14,Casemiro Tchouameni,CDM,Inter Milan,Switzerland,Serie A,Holding
15,Pierre-Emile Lavia,CDM,Newcastle,Belgium,Premier League,Centre Half
16,Manuel Tavares,CDM,Brest,Belgium,Ligue 1,Holding
17,Bruno Hernandez,CDM,Nice,Mali,Ligue 1,Centre Half
18,Stefan Zakaria,CDM,West Ham,Denmark,Premier League,Centre Half
19,Edson Kamara,CDM,Bologna,England,Serie A,Deep Lying Playmaker
20,Joshua Casemiro,CDM,Juventus,Germany,Serie A,Holding
21,Sofyan Tavares,CDM,Real Betis,Mexico,La Liga,Centre Half
22,Edson Amrabat,CDM,RB Leipzig,Morocco,Bundesliga,Centre Half
23,Moises Bissouma,CDM,Chelsea,England,Premier League,Holding
24,Joshua Bajcetic,CDM,Dortmund,Germany,Bundesliga,Centre Half
25,Declan Casemiro,CDM,Dortmund,Mexico,Bundesliga,Centre Half
26,Edson Alvarez,CDM,Stuttgart,Mali,Bundesliga,Deep Lying Playmaker
27,Moises Bissouma,CDM,AS Roma,France,Serie A,Deep Lying Playmaker
28,Yves Hernandez,CDM,Barcelona,Germany,La Liga,Deep Lying Playmaker
29,Joao Hernandez,CDM,Marseille,Ghana,Ligue 1,Centre Half
30,Denis Rice,CDM,Aston Villa,Brazil,Premier League,Centre Half
