Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Jude De Paul,CM,Juventus,Netherlands,Serie A,Holding
2,Warren Kovacic,CM,Atalanta,Mali,Serie A,Deep Lying Playmaker
3,Warren Paqueta,CM,Arsenal,Croatia,Premier League,Holding
4,Luka Locatelli,CM,West Ham,Algeria,Premier League,Playmaker
5,Adrien Rabiot,CM,Dortmund,Mali,Bundesliga,Half Winger
6,Ilkay Fernandez,CM,Nice,England,Ligue 1,Half Winger
7,Nicolo Bissouma,CM,Manchester City,Algeria,Premier League,Half Winger
8,Nicolo Goretzka,CM,West Ham,France,Premier League,Playmaker
9,Luka Koopmeiners,CM,AS Roma,Croatia,Serie A,Playmaker
10,Jude Xhaka,CM,AC Milan,Spain,Serie A,Holding
11,Toni Aouar,CM,Stuttgart,Croatia,Bundesliga,Deep Lying Playmaker
12,Lucas Barella,CM,PSG,Italy,Ligue 1,Half Winger
13,Gavi Tielemans,CM,Brest,Argentina,Ligue 1,Playmaker
14,Gavi Rabiot,CM,Arsenal,Croatia,Premier League,Holding
15,Kevin Szoboszlai,CM,Lille,Italy,Ligue 1,Playmaker
16,Conor Xhaka,CM,Stuttgart,Belgium,Bundesliga,Holding
17,Nicolo Kroos,CM,Atletico Madrid,Brazil,La Liga,Box to Box
18,Houssem Aouar,CM,West Ham,Hungary,Premier League,Playmaker
19,Granit Szoboszlai,CM,Valencia,Portugal,La Liga,Half Winger
20,Warren Mac Allister,CM,Brighton,Italy,Premier League,Deep Lying Playmaker
21,Lucas Xhaka,CM,Manchester City,Netherlands,Premier League,Half Winger
22,Pedri Mac Allister,CM,RB Leipzig,Brazil,Bundesliga,Playmaker
23,Frenkie Bellingham,CM,RB Leipzig,Spain,Bundesliga,Half Winger
24,Ilkay Mac Allister,CM,Atletico Madrid,Hungary,La Liga,Deep Lying Playmaker
25,Enzo Koopmeiners,CM,Real Madrid,Hungary,La Liga,Deep Lying Playmaker
26,Jude Fernandez,CM,Brest,Brazil,Ligue 1,Deep Lying Playmaker
27,Luka Tielemans,CM,Real Sociedad,Argentina,La Liga,Box to Box
28,Luka Goretzka,CM,Frankfurt,Mali,Bundesliga,Holding
29,Yves Mac Allister,CM,AC Milan,Algeria,Serie A,Half Winger
30,Warren Rabiot,CM,West Ham,France,Premier League,Half Winger
31,Adrien Locatelli,CM,Aston Villa,Croatia,Premier League,Holding
32,Houssem Koopmeiners,CM,Bayern Munich,France,Bundesliga,Box to Box
33,Pedri Kovacic,CM,Lazio,Spain,Serie A,Playmaker
34,Eduardo Bissouma,CM,Atalanta,Hungary,Serie A,Deep Lying Playmaker
35,Nicolo Barella,CM,Bayer Leverkusen,Switzerland,Bundesliga,Holding
36,Houssem Gonzalez,CM,AC Milan,Spain,Serie A,Holding
37,Warren Kovacic,CM,Nice,Hungary,Ligue 1,Half Winger
38,Granit Aouar,CM,Manchester United,Netherlands,Premier League,Playmaker
39,Jude Camavinga,CM,Lille,Netherlands,Ligue 1,Holding
40,Manuel Aouar,CM,Brighton,Portugal,Premier League,Box to Box
41,Houssem Kovacic,CM,Stuttgart,Argentina,Bundesliga,Holding
42,Ilkay Gonzalez,CM,Real Betis,Hungary,La Liga,Deep Lying Playmaker
43,Pedri Bissouma,CM,Real Sociedad,Germany,La Liga,Playmaker
44,Yves Gundogan,CM,Manchester City,Mali,Premier League,Deep Lying Playmaker
45,Dominik Bissouma,CM,Marseille,Belgium,Ligue 1,Half Winger
46,Rodrigo De Paul,CM,Real Sociedad,Spain,La Liga,Playmaker
47,Vitinha Aouar,CM,Manchester United,Argentina,Premier League,Deep Lying Playmaker
48,Mateo Barella,CM,Athletic Club,Netherlands,La Liga,Box to Box
49,Pedri Rabiot,CM,RB Leipzig,Croatia,Bundesliga,Playmaker
50,Granit Rabiot,CM,Monaco,England,Ligue 1,Box to Box
51,Rodrigo Koopmeiners,CM,Newcastle,France,Premier League,Half Winger
52,Frenkie Zaire-Emery,CM,Chelsea,Netherlands,Premier League,Playmaker
53,Frenkie Mac Allister,CM,AC Milan,Hungary,Serie A,Holding
54,Dominik Rabiot,CM,Dortmund,Italy,Bundesliga,Playmaker
55,Leon Goretzka,CM,Lazio,Spain,Serie A,Playmaker
56,Eduardo Modric,CM,AS Roma,Spain,Serie A,Deep Lying Playmaker
57,Jude Gallagher,CM,Nice,England,Ligue 1,Deep Lying Playmaker
58,Nicolo De Jong,CM,Dortmund,Portugal,Bundesliga,Playmaker
59,Luka Tielemans,CM,Liverpool,Croatia,Premier League,Deep Lying Playmaker
60,Enzo Koopmeiners,CM,Dortmund,Croatia,Bundesliga,Half Winger
61,Luka De Bruyne,CM,Marseille,England,Ligue 1,Playmaker
62,Lucas Mac Allister,CM,Arsenal,Algeria,Premier League,Box to Box
63,Kevin Zaire-Emery,CM,Frankfurt,Netherlands,Bundesliga,Box to Box
64,Lucas Kovacic,CM,Bayer Leverkusen,Mali,Bundesliga,Playmaker
65,Ilkay Kroos,CM,Lille,Algeria,Ligue 1,Holding
66,Conor De Bruyne,CM,Arsenal,Croatia,Premier League,Holding
67,Gavi Kroos,CM,Marseille,Mali,Ligue 1,Holding
68,Frenkie Modric,CM,Stuttgart,Germany,Bundesliga,Box to Box
69,Houssem Gundogan,CM,RB Leipzig,France,Bundesliga,Half Winger
70,Eduardo Kovacic,CM,PSG,Italy,Ligue 1,Half Winger
71,Gavi Goretzka,CM,Barcelona,Germany,La Liga,Playmaker
72,Frenkie Gundogan,CM,Lyon,Brazil,Ligue 1,Box to Box
73,Dominik Paqueta,CM,Inter Milan,Portugal,Serie A,Half Winger
74,Leon Gundogan,CM,Athletic Club,Mali,La Liga,Deep Lying Playmaker
75,Enzo Goretzka,CM,Valencia,Spain,La Liga,Box to Box
76,Toni Camavinga,CM,PSG,Brazil,Ligue 1,Deep Lying Playmaker
77,Eduardo Tielemans,CM,Brest,Netherlands,Ligue 1,Playmaker
78,Dominik Goretzka,CM,Tottenham,Brazil,Premier League,Box to Box
79,Rodrigo Goretzka,CM,Dortmund,Spain,Bundesliga,Box to Box
80,Luka Paqueta,CM,Brest,Switzerland,Ligue 1,Deep Lying Playmaker
81,Toni Kroos,CM,Napoli,Germany,Serie A,Half Winger
82,Enzo Paqueta,CM,Real Madrid,France,La Liga,Holding
83,Yves Barella,CM,Newcastle,France,Premier League,Holding
84,Mateo Tielemans,CM,Nice,Germany,Ligue 1,Playmaker
85,Alexis Bissouma,CM,Nice,Croatia,Ligue 1,Deep Lying Playmaker
86,Yves Zaire-Emery,CM,Atletico Madrid,France,La Liga,Holding
87,Eduardo Gonzalez,CM,RB Leipzig,Brazil,Bundesliga,Deep Lying Playmaker
88,Pedri Mac Allister,CM,Marseille,Argentina,Ligue 1,Half Winger
89,Enzo De Jong,CM,Newcastle,Spain,Premier League,Deep Lying Playmaker
90,Warren Koopmeiners,CM,Manchester United,Switzerland,Premier League,Deep Lying Playmaker
91,Houssem Koopmeiners,CM,West Ham,Switzerland,Premier League,Playmaker
92,Conor Gallagher,CM,Chelsea,Brazil,Premier League,Half Winger
93,Granit Goretzka,CM,Lazio,Netherlands,Serie A,Holding
94,Conor De Jong,CM,Juventus,Switzerland,Serie A,Playmaker
95,Adrien Gonzalez,CM,Girona,England,La Liga,Playmaker
96,Alexis Kroos,CM,Real Betis,Spain,La Liga,Deep Lying Playmaker
97,Adrien Koopmeiners,CM,PSG,Italy,Ligue 1,Box to Box
98,Jude De Jong,CM,Athletic Club,Netherlands,La Liga,Deep Lying Playmaker
99,Gavi Goretzka,CM,Tottenham,Netherlands,Premier League,Half Winger
100,Eduardo Mac Allister,CM,Nice,Croatia,Ligue 1,Half Winger
101,Adrien Gundogan,CM,Chelsea,Italy,Premier League,Deep Lying Playmaker
102,Adrien Gundogan,CM,Monaco,Netherlands,Ligue 1,Half Winger
103,Kevin Kovacic,CM,Manchester United,Italy,Premier League,Box to Box
104,Nicolo De Jong,CM,Newcastle,Germany,Premier League,Holding
105,Luka Modric,CM,Frankfurt,Switzerland,Bundesliga,Playmaker
106,Mateo Goretzka,CM,Nice,Brazil,Ligue 1,Half Winger
107,Frenkie Locatelli,CM,Brest,Italy,Ligue 1,Half Winger
108,Alexis Gonzalez,CM,Lille,Switzerland,Ligue 1,Holding
109,Granit Paqueta,CM,Bayern Munich,Germany,Bundesliga,Box to Box
110,Nicolo Bellingham,CM,Lyon,Brazil,Ligue 1,Holding
111,Ilkay De Jong,CM,Lazio,Switzerland,Serie A,Box to Box
112,Ilkay Goretzka,CM,Bologna,Mali,Serie A,Half Winger
113,Vitinha Gundogan,CM,Stuttgart,Italy,Bundesliga,Box to Box
114,Jude Bissouma,CM,Athletic Club,France,La Liga,Box to Box
115,Pedri Tielemans,CM,PSG,Croatia,Ligue 1,Box to Box
116,Manuel De Bruyne,CM,Atletico Madrid,Brazil,La Liga,Holding
117,Eduardo Goretzka,CM,Bayern Munich,Spain,Bundesliga,Half Winger
118,Ilkay Kovacic,CM,RB Leipzig,Netherlands,Bundesliga,Half Winger
119,Conor Gundogan,CM,Aston Villa,Algeria,Premier League,Box to Box
120,Yves Kovacic,CM,AC Milan,Argentina,Serie A,Holding
121,Frenkie Modric,CM,Monaco,Germany,Ligue 1,Holding
