Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Ferland Cucurella,LB,AS Roma,Canada,Serie A,Attacking Wing Back
2,Alejandro Hernandez,LB,Lazio,Canada,Serie A,Fullback
3,Alex Robertson,LB,Atletico Madrid,Italy,La Liga,Attacking Wing Back
4,Andrew Digne,LB,Tottenham,Italy,Premier League,Attacking Wing Back
5,Tyrick Sandro,LB,Frankfurt,France,Bundesliga,Fullback
6,Nuno Balde,LB,Inter Milan,Spain,Serie A,Fullback
7,Ferland Sandro,LB,Nice,England,Ligue 1,Wingback
8,Renan Alba,LB,Stuttgart,Belgium,Bundesliga,Attacking Wing Back
9,Kieran Dimarco,LB,Lille,Germany,Ligue 1,Falseback
10,Oleksandr Palmieri,LB,Newcastle,France,Premier League,Attacking Wing Back
11,Marc Gaya,LB,Athletic Club,Argentina,La Liga,Attacking Wing Back
12,Raphael Cucurella,LB,Newcastle,Ukraine,Premier League,Fullback
13,Andrew Tierney,LB,RB Leipzig,Argentina,Bundesliga,Wingback
14,Luke Davies,LB,Barcelona,Argentina,La Liga,Fullback
15,Emerson Maatsen,LB,Nice,Ukraine,Ligue 1,Falseback
16,Nuno Ait-Nouri,LB,Lille,Scotland,Ligue 1,Falseback
17,Alejandro Gaya,LB,Barcelona,Spain,La Liga,Wingback
18,Alex Davies,LB,Juventus,Italy,Serie A,Attacking Wing Back
19,Luke Hernandez,LB,Marseille,Ecuador,Ligue 1,Attacking Wing Back
20,Renan Mitchell,LB,Brest,Portugal,Ligue 1,Falseback
21,Vitaliy Palmieri,LB,Nice,Canada,Ligue 1,Falseback
22,Ben Hernandez,LB,RB Leipzig,Argentina,Bundesliga,Attacking Wing Back
23,Emerson Sandro,LB,Atalanta,England,Serie A,Attacking Wing Back
24,Lucas Palmieri,LB,RB Leipzig,Italy,Bundesliga,Attacking Wing Back
25,Tyrick Gaya,LB,Lille,Portugal,Ligue 1,Attacking Wing Back
26,Oleksandr Estupinan,LB,Inter Milan,France,Serie A,Fullback
27,Marc Mendy,LB,RB Leipzig,Canada,Bundesliga,Fullback
28,Ferland Estupinan,LB,PSG,Argentina,Ligue 1,Wingback
29,Ferland Gaya,LB,PSG,Portugal,Ligue 1,Fullback
30,Oleksandr Guerreiro,LB,Tottenham,Portugal,Premier League,Fullback
31,Jose Robertson,LB,Inter Milan,Ecuador,Serie A,Fullback
32,Alex Mitchell,LB,Tottenham,Spain,Premier League,Falseback
33,Vitaliy Mitchell,LB,Newcastle,France,Premier League,Falseback
34,Alejandro Alba,LB,Athletic Club,Brazil,La Liga,Falseback
35,Theo Mendy,LB,Chelsea,Belgium,Premier League,Wingback
36,Raphael Mykolenko,LB,Bologna,Portugal,Serie A,Wingback
37,Alex Cucurella,LB,Bayern Munich,Ecuador,Bundesliga,Falseback
38,Raphael Mendes,LB,Girona,Ecuador,La Liga,Attacking Wing Back
39,Alejandro Robertson,LB,Juventus,Scotland,Serie A,Falseback
40,Jose Gaya,LB,Inter Milan,Germany,Serie A,Fullback
41,Ben Balde,LB,Real Betis,Ukraine,La Liga,Fullback
42,Raphael Zinchenko,LB,Bayern Munich,Portugal,Bundesliga,Falseback
43,Emerson Udogie,LB,Arsenal,Portugal,Premier League,Wingback
44,Destiny Sandro,LB,Juventus,Argentina,Serie A,Fullback
