Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Marcus Kvaratskhelia,LW,Valencia,England,La Liga,Wide Playmaker
2,Vinicius Zaha,LW,West Ham,Japan,Premier League,Winger
3,Marcus Heung-min,LW,AS Roma,Portugal,Serie A,Wide Playmaker
4,Kingsley Mbappe,LW,Dortmund,Japan,Bundesliga,Wide Playmaker
5,Kylian Gakpo,LW,Real Betis,Colombia,La Liga,Winger
6,Luis Barnes,LW,Bologna,Belgium,Serie A,Inside Forward
7,Cody Leao,LW,Real Sociedad,Georgia,La Liga,Wide Playmaker
8,Kingsley Mitoma,LW,Newcastle,Netherlands,Premier League,Inside Forward
9,Kingsley Junior,LW,Tottenham,Germany,Premier League,Inside Forward
10,Nico Coman,LW,Lyon,Japan,Ligue 1,Wide Playmaker
11,Marcus Williams,LW,Athletic Club,France,La Liga,Wide Playmaker
12,Son Leao,LW,Arsenal,France,Premier League,Wide Playmaker
13,Jadon Mitoma,LW,Real Madrid,Georgia,La Liga,Winger
14,Gabriel Gakpo,LW,Monaco,Japan,Ligue 1,Wide Playmaker
15,Marcus Mbappe,LW,Napoli,Brazil,Serie A,Winger
16,Nico Gakpo,LW,Napoli,Japan,Serie A,Inside Forward
17,Harvey Junior,LW,Monaco,Germany,Ligue 1,Winger
18,Jack Junior,LW,Nice,Colombia,Ligue 1,Wide Playmaker
19,Vinicius Diaz,LW,Real Madrid,Belgium,La Liga,Inside Forward
20,Cody Mbappe,LW,Chelsea,Germany,Premier League,Winger
21,Luis Mitoma,LW,Inter Milan,Ivory Coast,Serie A,Wide Playmaker
22,Nico Leao,LW,Liverpool,South Korea,Premier League,Winger
23,Son Kvaratskhelia,LW,Manchester United,Brazil,Premier League,Winger
24,Khvicha Zaha,LW,Athletic Club,Japan,La Liga,Inside Forward
25,Kaoru Gakpo,LW,Monaco,Georgia,Ligue 1,Wide Playmaker
26,Mykhailo Mitoma,LW,Aston Villa,England,Premier League,Wide Playmaker
27,Kingsley Mitoma,LW,Manchester United,Argentina,Premier League,Winger
28,Rafael Mudryk,LW,Real Betis,Ivory Coast,La Liga,Winger
29,Alejandro Barnes,LW,Real Madrid,Japan,La Liga,Winger
30,Mykhailo Mitoma,LW,Marseille,Belgium,Ligue 1,Winger
31,Son Mbappe,LW,Bayern Munich,Georgia,Bundesliga,Wide Playmaker
32,Vinicius Heung-min,LW,Juventus,France,Serie A,Wide Playmaker
33,Gabriel Junior,LW,Brest,Spain,Ligue 1,Wide Playmaker
34,Ansu Mbappe,LW,RB Leipzig,Germany,Bundesliga,Winger
35,Kingsley Zaha,LW,Lazio,South Korea,Serie A,Inside Forward
36,Jack Doku,LW,Lazio,Argentina,Serie A,Winger
37,Cody Garnacho,LW,Brighton,Ivory Coast,Premier League,Winger
38,Jadon Martinelli,LW,Lazio,Netherlands,Serie A,Inside Forward
39,Jadon Martinelli,LW,Manchester United,France,Premier League,Inside Forward
40,Cody Barnes,LW,Real Betis,Argentina,La Liga,Inside Forward
41,Jadon Kvaratskhelia,LW,Arsenal,Colombia,Premier League,Wide Playmaker
42,Mykhailo Sancho,LW,Stuttgart,Colombia,Bundesliga,Inside Forward
43,Ansu Heung-min,LW,Brest,France,Ligue 1,Wide Playmaker
44,Gabriel Junior,LW,Real Betis,South Korea,La Liga,Inside Forward
45,Vinicius Doku,LW,PSG,Ukraine,Ligue 1,Wide Playmaker
46,Gabriel Mudryk,LW,Chelsea,Germany,Premier League,Winger
47,Kaoru Doku,LW,Manchester City,Netherlands,Premier League,Winger
48,Son Coman,LW,Lyon,Brazil,Ligue 1,Wide Playmaker
49,Rafael Rashford,LW,Real Sociedad,Brazil,La Liga,Wide Playmaker
50,Cody Heung-min,LW,Monaco,Colombia,Ligue 1,Inside Forward
51,Mykhailo Fati,LW,Tottenham,France,Premier League,Inside Forward
52,Cody Barnes,LW,Brest,Portugal,Ligue 1,Wide Playmaker
53,Nico Rashford,LW,AC Milan,Argentina,Serie A,Wide Playmaker
54,Kylian Coman,LW,Dortmund,Portugal,Bundesliga,Winger
55,Jadon Rashford,LW,AC Milan,Portugal,Serie A,Winger
56,Jack Coman,LW,Dortmund,Brazil,Bundesliga,Winger
57,Jack Diaz,LW,Girona,France,La Liga,Inside Forward
58,Luis Coman,LW,Aston Villa,Colombia,Premier League,Winger
59,Harvey Sancho,LW,Manchester City,Ivory Coast,Premier League,Winger
60,Vinicius Martinelli,LW,Real Madrid,England,La Liga,Inside Forward
61,Marcus Zaha,LW,Brest,Georgia,Ligue 1,Winger
62,Rafael Williams,LW,RB Leipzig,Ukraine,Bundesliga,Inside Forward
63,Kingsley Doku,LW,Napoli,Germany,Serie A,Inside Forward
64,Kingsley Williams,LW,Dortmund,South Korea,Bundesliga,Inside Forward
