Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Nahuel Carvajal,RB,Aston Villa,Japan,Premier League,Wingback
2,Giovanni Trippier,RB,Lyon,Belgium,Ligue 1,Attacking Wing Back
3,Trent Dalot,RB,Brighton,Poland,Premier League,Wingback
4,Giovanni Porro,RB,Stuttgart,Argentina,Bundesliga,Attacking Wing Back
5,Dani Dalot,RB,Bologna,Belgium,Serie A,Falseback
6,Denzel Hakimi,RB,Lille,Germany,Ligue 1,Wingback
7,Timothy Di Lorenzo,RB,Lyon,Brazil,Ligue 1,Wingback
8,Benjamin Walker,RB,Lyon,Brazil,Ligue 1,Wingback
9,Jeremie Tomiyasu,RB,Valencia,France,La Liga,Attacking Wing Back
10,Nahuel Gusto,RB,Newcastle,Argentina,Premier League,Wingback
11,Takehiro Hakimi,RB,Aston Villa,Belgium,Premier League,Wingback
12,Kyle Dalot,RB,Valencia,Japan,La Liga,Fullback
13,Kyle Frimpong,RB,RB Leipzig,Germany,Bundesliga,Wingback
14,Pedro Wan-Bissaka,RB,Bologna,Belgium,Serie A,Fullback
15,Dani Castagne,RB,Atalanta,Portugal,Serie A,Wingback
16,Timothy Pavard,RB,Chelsea,England,Premier League,Wingback
17,Giovanni Trippier,RB,Valencia,France,La Liga,Fullback
18,Dani Cancelo,RB,Real Betis,Turkey,La Liga,Falseback
19,Aaron Tomiyasu,RB,Nice,Spain,Ligue 1,Falseback
20,Rico Tomiyasu,RB,Tottenham,Turkey,Premier League,Falseback
21,Kieran Wan-Bissaka,RB,Bayer Leverkusen,Morocco,Bundesliga,Wingback
22,Achraf Hakimi,RB,Barcelona,USA,La Liga,Wingback
23,Ben Castagne,RB,Stuttgart,USA,Bundesliga,Falseback
24,Jeremie Hakimi,RB,Lazio,Italy,Serie A,Wingback
25,Rico White,RB,Monaco,Spain,Ligue 1,Attacking Wing Back
26,Reece Dumfries,RB,PSG,Italy,Ligue 1,Fullback
27,Nahuel Alexander-Arnold,RB,Juventus,Brazil,Serie A,Attacking Wing Back
28,Takehiro Frimpong,RB,Valencia,Germany,La Liga,Falseback
29,Takehiro Molina,RB,Real Betis,USA,La Liga,Wingback
30,Reece Carvajal,RB,Lille,Turkey,Ligue 1,Falseback
31,Takehiro Lewis,RB,Marseille,Spain,Ligue 1,Fullback
32,Kyle Alexander-Arnold,RB,Aston Villa,England,Premier League,Falseback
33,Takehiro Trippier,RB,Juventus,Spain,Serie A,Fullback
34,Rico Carvajal,RB,Bayern Munich,Netherlands,Bundesliga,Falseback
35,Dani Walker,RB,AS Roma,Japan,Serie A,Wingback
36,Pedro Porro,RB,Bologna,Argentina,Serie A,Wingback
37,Jeremie Dumfries,RB,Atalanta,England,Serie A,Wingback
38,Achraf Di Lorenzo,RB,Nice,Spain,Ligue 1,Wingback
39,Achraf Lewis,RB,Bayern Munich,Poland,Bundesliga,Falseback
40,Achraf Walker,RB,Marseille,Germany,Ligue 1,Attacking Wing Back
41,Trent Carvajal,RB,Real Sociedad,Germany,La Liga,Fullback
42,Timothy Frimpong,RB,Inter Milan,Portugal,Serie A,Fullback
43,Jeremie Frimpong,RB,West Ham,Italy,Premier League,Falseback
44,Kyle Dalot,RB,Real Sociedad,Brazil,La Liga,Attacking Wing Back
45,Rico Dalot,RB,Napoli,Spain,Serie A,Attacking Wing Back
46,Benjamin Walker,RB,Bayer Leverkusen,Morocco,Bundesliga,Falseback
47,Takehiro Lewis,RB,Dortmund,Japan,Bundesliga,Fullback
48,Aaron Hakimi,RB,Dortmund,Italy,Bundesliga,Attacking Wing Back
49,Diogo Gusto,RB,Lazio,Turkey,Serie A,Wingback
50,Dani Molina,RB,Bayer Leverkusen,Japan,Bundesliga,Wingback
51,Timothy Cancelo,RB,Real Madrid,Portugal,La Liga,Wingback
52,Ben White,RB,Napoli,Belgium,Serie A,Attacking Wing Back
53,Denzel Cancelo,RB,AC Milan,Italy,Serie A,Falseback
54,Takehiro Castagne,RB,Lazio,England,Serie A,Falseback
55,Benjamin Frimpong,RB,Chelsea,Argentina,Premier League,Attacking Wing Back
56,Denzel Pavard,RB,Nice,Germany,Ligue 1,Fullback
57,Denzel Trippier,RB,Liverpool,Portugal,Premier League,Falseback
58,Ben Frimpong,RB,Barcelona,France,La Liga,Attacking Wing Back
59,Benjamin Gusto,RB,Marseille,Brazil,Ligue 1,Fullback
60,Denzel Tomiyasu,RB,Napoli,Germany,Serie A,Fullback
61,Timothy Tomiyasu,RB,Atletico Madrid,Spain,La Liga,Wingback
62,Kieran Walker,RB,Manchester United,Argentina,Premier League,Wingback
63,Reece Dalot,RB,Bayer Leverkusen,Portugal,Bundesliga,Falseback
64,Rico Cancelo,RB,Brighton,Netherlands,Premier League,Wingback
65,Joao Pavard,RB,Inter Milan,Spain,Serie A,Attacking Wing Back
66,Kyle Carvajal,RB,Valencia,Italy,La Liga,Fullback
67,Jeremie White,RB,Tottenham,Morocco,Premier League,Falseback
68,Pedro Hakimi,RB,Dortmund,Argentina,Bundesliga,Falseback
69,Achraf Cancelo,RB,Real Betis,France,La Liga,Wingback
70,Ben James,RB,Bayern Munich,Portugal,Bundesliga,Falseback
71,Timothy Alexander-Arnold,RB,West Ham,Italy,Premier League,Attacking Wing Back
72,Kyle White,RB,Juventus,Brazil,Serie A,Fullback
73,Reece Trippier,RB,Marseille,Netherlands,Ligue 1,Falseback
74,Malo Wan-Bissaka,RB,Real Sociedad,England,La Liga,Falseback
75,Giovanni White,RB,Arsenal,Morocco,Premier League,Attacking Wing Back
76,Joao Wan-Bissaka,RB,Athletic Club,Brazil,La Liga,Fullback
77,Nahuel Alexander-Arnold,RB,Bayern Munich,Brazil,Bundesliga,Falseback
78,Achraf Frimpong,RB,Lille,Turkey,Ligue 1,Wingback
79,Aaron White,RB,Napoli,Belgium,Serie A,Wingback
80,Trent Dumfries,RB,Lyon,Japan,Ligue 1,Falseback
81,Joao Alexander-Arnold,RB,Liverpool,Spain,Premier League,Attacking Wing Back
82,Giovanni James,RB,Valencia,Morocco,La Liga,Falseback
83,Kyle Trippier,RB,Newcastle,England,Premier League,Fullback
84,Aaron Gusto,RB,AC Milan,Japan,Serie A,Fullback
85,Nahuel Trippier,RB,Lyon,France,Ligue 1,Wingback
86,Ben Wan-Bissaka,RB,AS Roma,Turkey,Serie A,Attacking Wing Back
87,Kyle Cancelo,RB,Manchester United,Portugal,Premier League,Fullback
88,Malo Gusto,RB,PSG,Spain,Ligue 1,Fullback
89,Giovanni Porro,RB,Arsenal,Belgium,Premier League,Fullback
90,Jeremie Dumfries,RB,Dortmund,Japan,Bundesliga,Wingback
91,Timothy Gusto,RB,PSG,Morocco,Ligue 1,Falseback
92,Joao Dumfries,RB,Real Sociedad,USA,La Liga,Attacking Wing Back
93,Ben Castagne,RB,Lille,USA,Ligue 1,Falseback
94,Reece Alexander-Arnold,RB,Brest,England,Ligue 1,Wingback
95,Jeremie Molina,RB,West Ham,France,Premier League,Wingback
96,Diogo Porro,RB,Monaco,Netherlands,Ligue 1,Fullback
97,Joao Porro,RB,Atalanta,Portugal,Serie A,Fullback
98,Timothy White,RB,Chelsea,Germany,Premier League,Falseback
99,Ben Cancelo,RB,AC Milan,Italy,Serie A,Falseback
100,Ben Tomiyasu,RB,Brest,Netherlands,Ligue 1,Attacking Wing Back
101,Rico Dumfries,RB,AC Milan,Morocco,Serie A,Attacking Wing Back
102,Dani Hakimi,RB,Nice,England,Ligue 1,Attacking Wing Back
103,Nahuel Frimpong,RB,Manchester United,Brazil,Premier League,Fullback
104,Achraf Tomiyasu,RB,PSG,Japan,Ligue 1,Falseback
105,Aaron Alexander-Arnold,RB,Newcastle,Poland,Premier League,Wingback
106,Reece Gusto,RB,Inter Milan,Netherlands,Serie A,Attacking Wing Back
107,Achraf Cancelo,RB,Dortmund,Morocco,Bundesliga,Attacking Wing Back
108,Timothy Alexander-Arnold,RB,Newcastle,USA,Premier League,Falseback
109,Kyle Cancelo,RB,Bologna,Japan,Serie A,Attacking Wing Back
110,Achraf Porro,RB,Atalanta,Poland,Serie A,Falseback
111,Aaron Frimpong,RB,Bayer Leverkusen,Italy,Bundesliga,Attacking Wing Back
112,Joao White,RB,Arsenal,Morocco,Premier League,Attacking Wing Back
113,Reece Cancelo,RB,Marseille,Italy,Ligue 1,Attacking Wing Back
114,Malo Porro,RB,Brighton,Italy,Premier League,Falseback
115,Malo Frimpong,RB,Real Sociedad,France,La Liga,Falseback
116,Diogo Hakimi,RB,Real Sociedad,Netherlands,La Liga,Wingback
117,Diogo Hakimi,RB,Inter Milan,Spain,Serie A,Wingback
118,Takehiro Molina,RB,Lille,Morocco,Ligue 1,Falseback
119,Kyle Lewis,RB,Atalanta,Germany,Serie A,Wingback
120,Malo Pavard,RB,Girona,Brazil,La Liga,Falseback
121,Aaron Wan-Bissaka,RB,Juventus,Turkey,Serie A,Wingback
122,Trent James,RB,Napoli,Argentina,Serie A,Attacking Wing Back
123,Joao Carvajal,RB,Real Betis,Italy,La Liga,Attacking Wing Back
124,Joao Di Lorenzo,RB,Stuttgart,France,Bundesliga,Falseback
125,Achraf Lewis,RB,AS Roma,Belgium,Serie A,Attacking Wing Back
126,Nahuel Frimpong,RB,Newcastle,Belgium,Premier League,Falseback
127,Denzel White,RB,Real Betis,Brazil,La Liga,Fullback
128,Achraf Dumfries,RB,Newcastle,England,Premier League,Falseback
129,Takehiro Porro,RB,AS Roma,USA,Serie A,Fullback
130,Nahuel Dalot,RB,Juventus,England,Serie A,Wingback
131,Kyle Molina,RB,Lyon,Netherlands,Ligue 1,Attacking Wing Back
132,Dani Frimpong,RB,Brest,Netherlands,Ligue 1,Falseback
133,Benjamin Gusto,RB,Lille,England,Ligue 1,Attacking Wing Back
134,Kyle Di Lorenzo,RB,Real Sociedad,USA,La Liga,Wingback
135,Giovanni Walker,RB,Girona,Japan,La Liga,Wingback
136,Joao James,RB,Marseille,Japan,Ligue 1,Fullback
137,Joao Dalot,RB,Valencia,Argentina,La Liga,Fullback
138,Aaron Di Lorenzo,RB,Real Betis,Argentina,La Liga,Falseback
139,Denzel Carvajal,RB,Dortmund,England,Bundesliga,Wingback
140,Kieran Carvajal,RB,Real Betis,Portugal,La Liga,Attacking Wing Back
141,Trent Wan-Bissaka,RB,Monaco,France,Ligue 1,Attacking Wing Back
142,Ben Molina,RB,AS Roma,Japan,Serie A,Falseback
143,Pedro Dumfries,RB,Manchester City,USA,Premier League,Falseback
144,Nahuel Pavard,RB,West Ham,England,Premier League,Wingback
145,Aaron Tomiyasu,RB,Lazio,USA,Serie A,Falseback
146,Aaron James,RB,Real Betis,Italy,La Liga,Fullback
147,Giovanni Gusto,RB,Tottenham,Morocco,Premier League,Fullback
148,Timothy Lewis,RB,RB Leipzig,Belgium,Bundesliga,Fullback
149,Giovanni Castagne,RB,Aston Villa,Turkey,Premier League,Fullback
150,Rico Frimpong,RB,Inter Milan,England,Serie A,Falseback
151,Nahuel Trippier,RB,Aston Villa,Italy,Premier League,Fullback
152,Rico Frimpong,RB,Stuttgart,Turkey,Bundesliga,Wingback
153,Denzel Di Lorenzo,RB,Tottenham,Argentina,Premier League,Fullback
154,Benjamin Alexander-Arnold,RB,Lille,USA,Ligue 1,Fullback
155,Malo Molina,RB,RB Leipzig,Poland,Bundesliga,Falseback
156,Ben Trippier,RB,Juventus,Italy,Serie A,Wingback
157,Achraf Pavard,RB,Manchester United,Germany,Premier League,Fullback
158,Joao Molina,RB,Lyon,Argentina,Ligue 1,Falseback
159,Nahuel Pavard,RB,Marseille,Morocco,Ligue 1,Fullback
160,Diogo Dalot,RB,Dortmund,Italy,Bundesliga,Wingback
161,Malo James,RB,Valencia,Brazil,La Liga,Attacking Wing Back
162,Ben Carvajal,RB,Manchester City,Poland,Premier League,Attacking Wing Back
163,Takehiro Alexander-Arnold,RB,Real Betis,France,La Liga,Fullback
164,Dani Tomiyasu,RB,Juventus,Morocco,Serie A,Fullback
165,Pedro Carvajal,RB,Barcelona,USA,La Liga,Falseback
166,Denzel Dalot,RB,Bologna,Netherlands,Serie A,Wingback
167,Denzel James,RB,Newcastle,Belgium,Premier League,Wingback
168,Joao Castagne,RB,Frankfurt,Germany,Bundesliga,Fullback
169,Kyle Carvajal,RB,Bayer Leverkusen,Spain,Bundesliga,Attacking Wing Back
170,Pedro Cancelo,RB,Athletic Club,France,La Liga,Wingback
171,Takehiro Gusto,RB,Manchester United,USA,Premier League,Attacking Wing Back
172,Jeremie Dumfries,RB,Bayern Munich,Morocco,Bundesliga,Falseback
173,Reece Tomiyasu,RB,Monaco,England,Ligue 1,Fullback
