Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Michael Pulisic,RW,Atletico Madrid,Brazil,La Liga,Winger
2,Nicolas Kulusevski,RW,Frankfurt,France,Bundesliga,Wide Playmaker
3,Angel Gnabry,RW,Napoli,Egypt,Serie A,Winger
4,Christian Bailey,RW,Bayer Leverkusen,Egypt,Bundesliga,Winger
5,Leroy Sane,RW,Lazio,Spain,Serie A,Wide Playmaker
6,Nicolas Pulisic,RW,Newcastle,Germany,Premier League,Inside Forward
7,Federico Berardi,RW,PSG,Japan,Ligue 1,Wide Playmaker
8,Jarrod Goes,RW,Valencia,France,La Liga,Winger
9,Bukayo Salah,RW,Lille,Sweden,Ligue 1,Winger
10,Dejan Di Maria,RW,Atalanta,Japan,Serie A,Winger
11,Serge Bailey,RW,Girona,Italy,La Liga,Inside Forward
12,Jarrod Gnabry,RW,Newcastle,Brazil,Premier League,Wide Playmaker
13,Rodrygo Chiesa,RW,Bayer Leverkusen,Brazil,Bundesliga,Inside Forward
14,Domenico Asensio,RW,Atalanta,Argentina,Serie A,Wide Playmaker
15,Bukayo Olise,RW,Brighton,Egypt,Premier League,Wide Playmaker
16,Rodrygo Mbeumo,RW,Athletic Club,Brazil,La Liga,Winger
17,Raphinha Di Maria,RW,Bayern Munich,Germany,Bundesliga,Winger
18,Leroy Raphinha,RW,Real Sociedad,Italy,La Liga,Wide Playmaker
19,Federico Sane,RW,Stuttgart,France,Bundesliga,Wide Playmaker
20,Nicolas Bailey,RW,Bayern Munich,Italy,Bundesliga,Inside Forward
21,Federico Saka,RW,Barcelona,Germany,La Liga,Wide Playmaker
22,Dejan Dembele,RW,AC Milan,Cameroon,Serie A,Wide Playmaker
23,Michael Gnabry,RW,Lille,Cameroon,Ligue 1,Inside Forward
24,Christian Sane,RW,West Ham,England,Premier League,Winger
25,Nicolas Bailey,RW,Bayern Munich,Ivory Coast,Bundesliga,Winger
26,Dejan Mbeumo,RW,PSG,Egypt,Ligue 1,Inside Forward
27,Federico Asensio,RW,PSG,USA,Ligue 1,Winger
28,Leon Berardi,RW,Napoli,Sweden,Serie A,Wide Playmaker
29,Federico Olise,RW,Bayer Leverkusen,Germany,Bundesliga,Winger
30,Bukayo Dembele,RW,Bayern Munich,Cameroon,Bundesliga,Winger
31,Angel Gnabry,RW,Dortmund,Italy,Bundesliga,Wide Playmaker
32,Jarrod Pino,RW,PSG,Egypt,Ligue 1,Inside Forward
33,Rodrygo Sane,RW,Chelsea,France,Premier League,Wide Playmaker
34,Marco Dembele,RW,Bologna,Cameroon,Serie A,Winger
35,Leon Raphinha,RW,Juventus,Egypt,Serie A,Wide Playmaker
36,Yeremy Salah,RW,PSG,Ivory Coast,Ligue 1,Inside Forward
37,Dejan Di Maria,RW,Brest,Japan,Ligue 1,Inside Forward
38,Nicolas Asensio,RW,Juventus,France,Serie A,Winger
39,Takefusa Pino,RW,Valencia,Egypt,La Liga,Winger
40,Yeremy Sane,RW,Stuttgart,Italy,Bundesliga,Wide Playmaker
41,Yeremy Dembele,RW,RB Leipzig,Germany,Bundesliga,Wide Playmaker
42,Michael Saka,RW,Atalanta,Jamaica,Serie A,Winger
43,Yeremy Di Maria,RW,Valencia,Ivory Coast,La Liga,Inside Forward
44,Marco Bowen,RW,Barcelona,USA,La Liga,Inside Forward
45,Rodrygo Sane,RW,Aston Villa,Germany,Premier League,Winger
46,Christian Mbeumo,RW,Brest,Sweden,Ligue 1,Wide Playmaker
47,Serge Olise,RW,Bologna,USA,Serie A,Winger
48,Leon Raphinha,RW,Real Sociedad,Italy,La Liga,Winger
49,Marco Asensio,RW,Real Madrid,Ivory Coast,La Liga,Wide Playmaker
50,Marco Mbeumo,RW,Tottenham,England,Premier League,Inside Forward
