Id,NamaPemain,Posisi,Club,Negara,Liga,PlayerInstruction
1,Ollie Gimenez,ST,Aston Villa,Belgium,Premier League,Advanced Forward
2,Harry Toney,ST,Marseille,Uruguay,Ligue 1,False 9
3,Harry Sesko,ST,AS Roma,Germany,Serie A,Poacher
4,Santiago Kane,ST,Arsenal,Portugal,Premier League,Advanced Forward
5,Ivan Nunez,ST,RB Leipzig,Sweden,Bundesliga,False 9
6,Victor Watkins,ST,Athletic Club,Spain,La Liga,Target Forward
7,Lautaro Hojlund,ST,Atletico Madrid,Nigeria,La Liga,False 9
8,Callum Openda,ST,Bologna,Belgium,Serie A,Target Forward
9,Erling Openda,ST,Atletico Madrid,France,La Liga,Advanced Forward
10,Dusan Nunez,ST,West Ham,Uruguay,Premier League,False 9
11,Robert Sesko,ST,Newcastle,France,Premier League,Poacher
12,Lois Lewandowski,ST,Athletic Club,Uruguay,La Liga,Target Forward
13,Harry Fullkrug,ST,Bayer Leverkusen,Nigeria,Bundesliga,False 9
14,Harry Wilson,ST,Athletic Club,Slovenia,La Liga,Poacher
15,Lautaro Sesko,ST,PSG,Belgium,Ligue 1,Target Forward
16,Romelu Nunez,ST,PSG,Spain,Ligue 1,False 9
17,Alexander Ramos,ST,Napoli,Germany,Serie A,False 9
18,Callum Alvarez,ST,Lille,Norway,Ligue 1,Advanced Forward
19,Julian Haaland,ST,Tottenham,Spain,Premier League,Poacher
20,Goncalo Alvarez,ST,Lille,Argentina,Ligue 1,Advanced Forward
21,Dusan Lewandowski,ST,Real Madrid,Belgium,La Liga,Advanced Forward
22,Victor Watkins,ST,Arsenal,Serbia,Premier League,Target Forward
23,Callum Haaland,ST,Atalanta,France,Serie A,Target Forward
24,Romelu Hojlund,ST,Tottenham,Sweden,Premier League,Poacher
25,Alvaro Ramos,ST,Atletico Madrid,Uruguay,La Liga,Target Forward
26,Niclas Kane,ST,PSG,Norway,Ligue 1,Advanced Forward
27,Dusan Lukaku,ST,RB Leipzig,Sweden,Bundesliga,False 9
28,Erling Ramos,ST,Girona,Belgium,La Liga,Target Forward
29,Niclas Lewandowski,ST,Real Sociedad,Portugal,La Liga,Poacher
30,Ivan Watkins,ST,PSG,Serbia,Ligue 1,Poacher
31,Romelu Lewandowski,ST,Stuttgart,England,Bundesliga,Poacher
32,Alvaro Lukaku,ST,RB Leipzig,Denmark,Bundesliga,False 9
33,Romelu Haaland,ST,Aston Villa,Belgium,Premier League,Poacher
34,Victor Martinez,ST,Liverpool,Portugal,Premier League,Advanced Forward
35,Niclas Nunez,ST,Liverpool,Denmark,Premier League,Poacher
36,Victor Watkins,ST,Atletico Madrid,Serbia,La Liga,Poacher
37,Harry Toney,ST,Monaco,Poland,Ligue 1,Target Forward
38,Alexander Toney,ST,Bologna,Slovenia,Serie A,Target Forward
39,Alexander Morata,ST,Atalanta,Denmark,Serie A,Advanced Forward
40,Julian Watkins,ST,Inter Milan,Norway,Serie A,False 9
41,Robert Wilson,ST,Brest,Norway,Ligue 1,Target Forward
42,Darwin Alvarez,ST,Inter Milan,Poland,Serie A,Poacher
43,Erling Alvarez,ST,Manchester United,Norway,Premier League,Target Forward
44,Julian Wilson,ST,Bayer Leverkusen,Norway,Bundesliga,False 9
45,Santiago Martinez,ST,AS Roma,Brazil,Serie A,False 9
46,Santiago Morata,ST,PSG,Nigeria,Ligue 1,Target Forward
47,Ollie Isak,ST,Stuttgart,Nigeria,Bundesliga,Poacher
48,Ivan Kane,ST,Dortmund,England,Bundesliga,Target Forward
49,Alvaro Haaland,ST,RB Leipzig,France,Bundesliga,Target Forward
50,Darwin Vlahovic,ST,Real Sociedad,Uruguay,La Liga,Advanced Forward
51,Alexander Morata,ST,AS Roma,Belgium,Serie A,Poacher
52,Victor Haaland,ST,Juventus,Brazil,Serie A,Poacher
53,Santiago Nunez,ST,Manchester City,Brazil,Premier League,False 9
54,Goncalo Sesko,ST,Napoli,Germany,Serie A,False 9
55,Alexander Vlahovic,ST,Frankfurt,Brazil,Bundesliga,Target Forward
56,Rasmus Alvarez,ST,Frankfurt,Argentina,Bundesliga,Poacher
57,Erling Lukaku,ST,Stuttgart,Sweden,Bundesliga,False 9
58,Lautaro Wilson,ST,PSG,Uruguay,Ligue 1,Poacher
59,Harry Martinez,ST,Atalanta,France,Serie A,Target Forward
60,Ivan Hojlund,ST,Lille,Mexico,Ligue 1,False 9
61,Ollie Wilson,ST,Inter Milan,Denmark,Serie A,Advanced Forward
62,Rasmus Watkins,ST,Nice,Denmark,Ligue 1,Poacher
63,Benjamin Kane,ST,Bayer Leverkusen,England,Bundesliga,Target Forward
64,Niclas Kane,ST,Bayern Munich,Argentina,Bundesliga,Target Forward
65,Erling Gimenez,ST,Real Madrid,Argentina,La Liga,Target Forward
66,Callum Openda,ST,Dortmund,Mexico,Bundesliga,Advanced Forward
67,Callum Kane,ST,Monaco,Portugal,Ligue 1,Advanced Forward
68,Santiago Vlahovic,ST,Tottenham,Uruguay,Premier League,Advanced Forward
69,Alvaro Ramos,ST,Bologna,Germany,Serie A,False 9
70,Erling Wilson,ST,Girona,Mexico,La Liga,Poacher
71,Ivan Lukaku,ST,Valencia,Argentina,La Liga,Advanced Forward
72,Alvaro Openda,ST,Arsenal,Belgium,Premier League,Target Forward
73,Niclas Ramos,ST,Lyon,Nigeria,Ligue 1,Advanced Forward
74,Alvaro Wilson,ST,Frankfurt,Germany,Bundesliga,False 9
75,Harry Lukaku,ST,Athletic Club,France,La Liga,False 9
76,Santiago Osimhen,ST,Napoli,Poland,Serie A,False 9
77,Darwin Lewandowski,ST,Monaco,Norway,Ligue 1,False 9
78,Alvaro Lukaku,ST,Stuttgart,Denmark,Bundesliga,Target Forward
79,Darwin Morata,ST,Real Sociedad,Nigeria,La Liga,False 9
80,Alexander Fullkrug,ST,Manchester City,Argentina,Premier League,Poacher
81,Alvaro Osimhen,ST,Newcastle,Poland,Premier League,Poacher
82,Victor Alvarez,ST,Manchester City,Germany,Premier League,False 9
83,Goncalo Martinez,ST,Monaco,Belgium,Ligue 1,Poacher
84,Benjamin Lewandowski,ST,Athletic Club,Belgium,La Liga,Target Forward
85,Alvaro Haaland,ST,Bologna,England,Serie A,Target Forward
86,Callum Osimhen,ST,Barcelona,Nigeria,La Liga,False 9
87,Ivan Gimenez,ST,Atalanta,Serbia,Serie A,Advanced Forward
88,Santiago Kane,ST,Girona,Argentina,La Liga,False 9
89,Victor Alvarez,ST,Marseille,Serbia,Ligue 1,Target Forward
90,Alvaro Lukaku,ST,Marseille,Uruguay,Ligue 1,Target Forward
91,Ollie Openda,ST,Lille,Brazil,Ligue 1,Poacher
92,Harry Nunez,ST,Dortmund,England,Bundesliga,False 9
93,Ivan Morata,ST,Frankfurt,Spain,Bundesliga,Advanced Forward
94,Erling Toney,ST,RB Leipzig,Poland,Bundesliga,Poacher
95,Julian Lukaku,ST,RB Leipzig,Denmark,Bundesliga,False 9
96,Julian Ramos,ST,Chelsea,Brazil,Premier League,Advanced Forward
97,Dusan Vlahovic,ST,Nice,Portugal,Ligue 1,Target Forward
98,Julian Lukaku,ST,Brest,Norway,Ligue 1,Poacher
99,Darwin Sesko,ST,Atalanta,France,Serie A,Poacher
100,Lois Morata,ST,Arsenal,Sweden,Premier League,Advanced Forward
101,Niclas Ramos,ST,Bayern Munich,France,Bundesliga,Target Forward
102,Santiago Kane,ST,Lille,Brazil,Ligue 1,Poacher
103,Harry Hojlund,ST,Bayern Munich,Slovenia,Bundesliga,Poacher
104,Callum Ramos,ST,Monaco,France,Ligue 1,Advanced Forward
105,Ivan Lewandowski,ST,Bayer Leverkusen,Belgium,Bundesliga,Poacher
106,Romelu Watkins,ST,Girona,France,La Liga,Poacher
107,Julian Lewandowski,ST,Stuttgart,Serbia,Bundesliga,Poacher
108,Darwin Lewandowski,ST,Monaco,Belgium,Ligue 1,Target Forward
109,Callum Isak,ST,AS Roma,Serbia,Serie A,False 9
110,Ivan Haaland,ST,Liverpool,Germany,Premier League,False 9
111,Lautaro Watkins,ST,Real Betis,Belgium,La Liga,Poacher
112,Rasmus Isak,ST,Bologna,Nigeria,Serie A,Target Forward
